Channel ID,Channel URL,Channel title
UCkCJ0zLrSg7VudR97g-FNVQ,http://www.youtube.com/channel/UCkCJ0zLrSg7VudR97g-FNVQ,Kenny Gunderman
UCkUq-s6z57uJFUFBvZIVTyg,http://www.youtube.com/channel/UCkUq-s6z57uJFUFBvZIVTyg,Indian Pythonista
UCnCc3T7bMgTRy-3Jaj_XFBg,http://www.youtube.com/channel/UCnCc3T7bMgTRy-3Jaj_XFBg,Avexta Education
UCoebwHSTvwalADTJhps0emA,http://www.youtube.com/channel/UCoebwHSTvwalADTJhps0emA,Wes Bos
UCrYmtJBtLdtm2ov84ulV-yg,http://www.youtube.com/channel/UCrYmtJBtLdtm2ov84ulV-yg,Ivan on Tech
UCrm-HTaESqxJXyxMcZFOHng,http://www.youtube.com/channel/UCrm-HTaESqxJXyxMcZFOHng,Dev World
UCrqAGUPPMOdo0jfQ6grikZw,http://www.youtube.com/channel/UCrqAGUPPMOdo0jfQ6grikZw,Colt Steele
UCsMica-v34Irf9KVTh6xx-g,http://www.youtube.com/channel/UCsMica-v34Irf9KVTh6xx-g,Microsoft Developer
UCsTV2_gPQ_44sPDQ6eHnGYg,http://www.youtube.com/channel/UCsTV2_gPQ_44sPDQ6eHnGYg,Make Data Useful
UCtxCXg-UvSnTKPOzLH4wJaQ,http://www.youtube.com/channel/UCtxCXg-UvSnTKPOzLH4wJaQ,Coding Tech
UCzL_0nIe8B4-7ShhVPfJkgw,http://www.youtube.com/channel/UCzL_0nIe8B4-7ShhVPfJkgw,Data Science Dojo

